,Table name,State,District,Area Name,Last residence,Last residence.1,Place of enumeration,Total migrants(Persons),Total migrants(Males),Total migrants(Females),Less than 1 year(Persons),Less than 1 year(Males),Less than 1 year(Females),1-4 years(Persons),1-4 years(Males),1-4 years(Females),5-9 years(Persons),5-9 years(Males),5-9 years(Females),10-19 years(Persons),10-19 years(Males),10-19 years(Females),20+ years(Persons),20+ years(Males),20+ years(Females),Duration not stated(Persons),Duration not stated(Males),Duration not stated(Females)
9235,D0302,29.0,572.0,Bangalore,West Bengal,Urban,Rural,1582.0,1078.0,504.0,342.0,247.0,95.0,795.0,551.0,244.0,254.0,172.0,82.0,83.0,50.0,33.0,23.0,16.0,7.0,85.0,42.0,43.0
9244,D0302,29.0,572.0,Bangalore,Jharkhand,Urban,Rural,386.0,299.0,87.0,58.0,48.0,10.0,281.0,223.0,58.0,30.0,17.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,12.0,7.0,5.0
9253,D0302,29.0,572.0,Bangalore,Odisha,Urban,Rural,1386.0,1082.0,304.0,263.0,192.0,71.0,750.0,618.0,132.0,206.0,154.0,52.0,63.0,47.0,16.0,18.0,12.0,6.0,86.0,59.0,27.0
9262,D0302,29.0,572.0,Bangalore,Chhattisgarh,Urban,Rural,88.0,61.0,27.0,19.0,11.0,8.0,60.0,44.0,16.0,7.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
9271,D0302,29.0,572.0,Bangalore,Madhya Pradesh,Urban,Rural,278.0,194.0,84.0,31.0,24.0,7.0,183.0,133.0,50.0,31.0,16.0,15.0,19.0,12.0,7.0,0.0,0.0,0.0,14.0,9.0,5.0
9280,D0302,29.0,572.0,Bangalore,Gujarat,Urban,Rural,257.0,150.0,107.0,23.0,15.0,8.0,132.0,81.0,51.0,43.0,27.0,16.0,23.0,14.0,9.0,12.0,3.0,9.0,24.0,10.0,14.0
9289,D0302,29.0,572.0,Bangalore,Daman & Diu,Urban,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9298,D0302,29.0,572.0,Bangalore,Dadra & Nagar Haveli,Urban,Rural,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9307,D0302,29.0,572.0,Bangalore,Maharashtra,Urban,Rural,944.0,524.0,420.0,209.0,107.0,102.0,402.0,237.0,165.0,156.0,80.0,76.0,74.0,40.0,34.0,30.0,15.0,15.0,73.0,45.0,28.0
9316,D0302,29.0,572.0,Bangalore,Andhra Pradesh,Urban,Rural,5392.0,2964.0,2428.0,893.0,513.0,380.0,2148.0,1204.0,944.0,1033.0,564.0,469.0,648.0,339.0,309.0,275.0,144.0,131.0,395.0,200.0,195.0
9325,D0302,29.0,572.0,Bangalore,Karnataka,Urban,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9334,D0302,29.0,572.0,Bangalore,Goa,Urban,Rural,52.0,34.0,18.0,1.0,1.0,0.0,35.0,24.0,11.0,11.0,7.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
9343,D0302,29.0,572.0,Bangalore,Lakshadweep,Urban,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9352,D0302,29.0,572.0,Bangalore,Kerala,Urban,Rural,2368.0,1211.0,1157.0,337.0,155.0,182.0,1128.0,585.0,543.0,405.0,221.0,184.0,179.0,93.0,86.0,123.0,57.0,66.0,196.0,100.0,96.0
9361,D0302,29.0,572.0,Bangalore,Tamil Nadu,Urban,Rural,7874.0,3977.0,3897.0,941.0,529.0,412.0,2587.0,1379.0,1208.0,1653.0,827.0,826.0,1087.0,518.0,569.0,905.0,399.0,506.0,701.0,325.0,376.0
9370,D0302,29.0,572.0,Bangalore,Puducherry,Urban,Rural,29.0,15.0,14.0,4.0,2.0,2.0,13.0,9.0,4.0,8.0,3.0,5.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
9379,D0302,29.0,572.0,Bangalore,Andaman & Nicobar Islands,Urban,Rural,9.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
