,Table name,State,District,Area Name,Last residence,Last residence.1,Place of enumeration,Total migrants(Persons),Total migrants(Males),Total migrants(Females),Less than 1 year(Persons),Less than 1 year(Males),Less than 1 year(Females),1-4 years(Persons),1-4 years(Males),1-4 years(Females),5-9 years(Persons),5-9 years(Males),5-9 years(Females),10-19 years(Persons),10-19 years(Males),10-19 years(Females),20+ years(Persons),20+ years(Males),20+ years(Females),Duration not stated(Persons),Duration not stated(Males),Duration not stated(Females)
9233,D0302,29.0,572.0,Bangalore,West Bengal,Rural,Urban,7381.0,5261.0,2120.0,941.0,675.0,266.0,3375.0,2429.0,946.0,1539.0,1116.0,423.0,842.0,623.0,219.0,260.0,165.0,95.0,424.0,253.0,171.0
9242,D0302,29.0,572.0,Bangalore,Jharkhand,Rural,Urban,2967.0,2136.0,831.0,438.0,332.0,106.0,1272.0,916.0,356.0,614.0,436.0,178.0,320.0,245.0,75.0,93.0,64.0,29.0,230.0,143.0,87.0
9251,D0302,29.0,572.0,Bangalore,Odisha,Rural,Urban,15815.0,12245.0,3570.0,1619.0,1245.0,374.0,7044.0,5428.0,1616.0,4176.0,3403.0,773.0,1687.0,1325.0,362.0,391.0,285.0,106.0,898.0,559.0,339.0
9260,D0302,29.0,572.0,Bangalore,Chhattisgarh,Rural,Urban,745.0,458.0,287.0,87.0,69.0,18.0,304.0,179.0,125.0,141.0,88.0,53.0,86.0,51.0,35.0,57.0,36.0,21.0,70.0,35.0,35.0
9269,D0302,29.0,572.0,Bangalore,Madhya Pradesh,Rural,Urban,2218.0,1350.0,868.0,239.0,155.0,84.0,830.0,507.0,323.0,531.0,340.0,191.0,288.0,192.0,96.0,167.0,91.0,76.0,163.0,65.0,98.0
9278,D0302,29.0,572.0,Bangalore,Gujarat,Rural,Urban,4144.0,2190.0,1954.0,227.0,128.0,99.0,1157.0,598.0,559.0,760.0,399.0,361.0,684.0,360.0,324.0,965.0,541.0,424.0,351.0,164.0,187.0
9287,D0302,29.0,572.0,Bangalore,Daman & Diu,Rural,Urban,6.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
9296,D0302,29.0,572.0,Bangalore,Dadra & Nagar Haveli,Rural,Urban,15.0,8.0,7.0,1.0,0.0,1.0,6.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
9305,D0302,29.0,572.0,Bangalore,Maharashtra,Rural,Urban,5647.0,2930.0,2717.0,423.0,211.0,212.0,1777.0,917.0,860.0,1114.0,583.0,531.0,897.0,458.0,439.0,873.0,484.0,389.0,563.0,277.0,286.0
9314,D0302,29.0,572.0,Bangalore,Andhra Pradesh,Rural,Urban,129679.0,71240.0,58439.0,8352.0,4651.0,3701.0,34645.0,18486.0,16159.0,30526.0,17064.0,13462.0,24668.0,13863.0,10805.0,21139.0,12189.0,8950.0,10349.0,4987.0,5362.0
9323,D0302,29.0,572.0,Bangalore,Karnataka,Rural,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9332,D0302,29.0,572.0,Bangalore,Goa,Rural,Urban,207.0,107.0,100.0,16.0,9.0,7.0,81.0,45.0,36.0,42.0,24.0,18.0,28.0,11.0,17.0,26.0,10.0,16.0,14.0,8.0,6.0
9341,D0302,29.0,572.0,Bangalore,Lakshadweep,Rural,Urban,60.0,28.0,32.0,6.0,3.0,3.0,8.0,4.0,4.0,9.0,3.0,6.0,13.0,4.0,9.0,13.0,7.0,6.0,11.0,7.0,4.0
9350,D0302,29.0,572.0,Bangalore,Kerala,Rural,Urban,42141.0,23062.0,19079.0,2370.0,1252.0,1118.0,10747.0,5763.0,4984.0,7404.0,4123.0,3281.0,7671.0,4250.0,3421.0,10152.0,5855.0,4297.0,3797.0,1819.0,1978.0
9359,D0302,29.0,572.0,Bangalore,Tamil Nadu,Rural,Urban,168966.0,90107.0,78859.0,6897.0,3590.0,3307.0,29121.0,14739.0,14382.0,28992.0,15359.0,13633.0,37388.0,19691.0,17697.0,51379.0,29566.0,21813.0,15189.0,7162.0,8027.0
9368,D0302,29.0,572.0,Bangalore,Puducherry,Rural,Urban,407.0,220.0,187.0,21.0,9.0,12.0,91.0,52.0,39.0,75.0,42.0,33.0,75.0,40.0,35.0,90.0,53.0,37.0,55.0,24.0,31.0
9377,D0302,29.0,572.0,Bangalore,Andaman & Nicobar Islands,Rural,Urban,180.0,88.0,92.0,15.0,7.0,8.0,110.0,52.0,58.0,23.0,10.0,13.0,11.0,7.0,4.0,12.0,6.0,6.0,9.0,6.0,3.0
